Player,PlayerLine
ROMEO,"Gentlemen, for shame, forbear this outrage!"
ROMEO,"Tybalt, Mercutio, the prince expressly hath"
ROMEO,Forbidden bandying in Verona streets:
ROMEO,"Hold, Tybalt! good Mercutio!"
ROMEO,"TYBALT under ROMEO's arm stabs MERCUTIO, and flies with his followers"
ROMEO,"Courage, man, the hurt cannot be much."
ROMEO,I thought all for the best.
ROMEO,"This gentleman, the prince's near ally,"
ROMEO,"My very friend, hath got his mortal hurt"
ROMEO,"In my behalf, my reputation stain'd"
ROMEO,"With Tybalt's slander,--Tybalt, that an hour"
ROMEO,"Hath been my kinsman! O sweet Juliet,"
ROMEO,Thy beauty hath made me effeminate
ROMEO,And in my temper soften'd valour's steel!
ROMEO,Re-enter BENVOLIO
ROMEO,"This day's black fate on more days doth depend,"
ROMEO,"This but begins the woe, others must end."
ROMEO,"Alive, in triumph! and Mercutio slain!"
ROMEO,"Away to heaven, respective lenity,"
ROMEO,And fire-eyed fury be my conduct now!
ROMEO,Re-enter TYBALT
ROMEO,"Now, Tybalt, take the villain back again,"
ROMEO,"That late thou gavest me, for Mercutio's soul"
ROMEO,"Is but a little way above our heads,"
ROMEO,Staying for thine to keep him company:
ROMEO,"Either thou, or I, or both, must go with him."
ROMEO,This shall determine that.
ROMEO,"They fight, TYBALT falls"
ROMEO,"O, I am fortune's fool!"
JULIET,"Gallop apace, you fiery-footed steeds,"
JULIET,Towards Phoebus' lodging: such a wagoner
JULIET,"As Phaethon would whip you to the west,"
JULIET,And bring in cloudy night immediately.
JULIET,"Spread thy close curtain, love-performing night,"
JULIET,That runaway's eyes may wink and Romeo
JULIET,"Leap to these arms, untalk'd of and unseen."
JULIET,Lovers can see to do their amorous rites
JULIET,"By their own beauties, or, if love be blind,"
JULIET,"It best agrees with night. Come, civil night,"
JULIET,"Thou sober-suited matron, all in black,"
JULIET,"And learn me how to lose a winning match,"
JULIET,Play'd for a pair of stainless maidenhoods:
JULIET,"Hood my unmann'd blood, bating in my cheeks,"
JULIET,"With thy black mantle, till strange love, grown bold,"
JULIET,Think true love acted simple modesty.
JULIET,"Come, night, come, Romeo, come, thou day in night,"
JULIET,For thou wilt lie upon the wings of night
JULIET,Whiter than new snow on a raven's back.
JULIET,"Come, gentle night, come, loving, black-brow'd night,"
JULIET,"Give me my Romeo, and, when he shall die,"
JULIET,"Take him and cut him out in little stars,"
JULIET,And he will make the face of heaven so fine
JULIET,That all the world will be in love with night
JULIET,And pay no worship to the garish sun.
JULIET,"O, I have bought the mansion of a love,"
JULIET,"But not possess'd it, and, though I am sold,"
JULIET,Not yet enjoy'd: so tedious is this day
JULIET,As is the night before some festival
JULIET,To an impatient child that hath new robes
JULIET,"And may not wear them. O, here comes my nurse,"
JULIET,"And she brings news, and every tongue that speaks"
JULIET,But Romeo's name speaks heavenly eloquence.
JULIET,"Enter Nurse, with cords"
JULIET,"Now, nurse, what news? What hast thou there? the cords"
JULIET,That Romeo bid thee fetch?
JULIET,Ay me! what news? why dost thou wring thy hands?
JULIET,Can heaven be so envious?
JULIET,"What devil art thou, that dost torment me thus?"
